Source      ,Target       ,category        ,Weight
PA37181     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37182     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37182     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37182     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37182     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37182     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37182     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37182     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37182     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37182     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37182     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37182     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37182     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37182     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37182     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37182     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37182     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA419       ,PA445218     ,ASSOCIATED_WITH ,     1
PA419       ,PA446615     ,ASSOCIATED_WITH ,     1
PA419       ,PA446108     ,ASSOCIATED_WITH ,     1
PA419       ,PA444750     ,ASSOCIATED_WITH ,     1
PA419       ,PA443560     ,ASSOCIATED_WITH ,     1
PA419       ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA419       ,DOID:234     ,ASSOCIATED_WITH ,     1
PA419       ,PA444840     ,ASSOCIATED_WITH ,     1
PA419       ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA419       ,PA445742     ,ASSOCIATED_WITH ,     1
PA419       ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA419       ,PA445503     ,ASSOCIATED_WITH ,     1
PA419       ,DOID:235     ,ASSOCIATED_WITH ,     1
PA419       ,PA443622     ,ASSOCIATED_WITH ,     1
PA419       ,PA443557     ,ASSOCIATED_WITH ,     1
PA419       ,PA443756     ,ASSOCIATED_WITH ,     1
PA39        ,PA443450     ,ASSOCIATED_WITH ,     1
PA39        ,PA444816     ,ASSOCIATED_WITH ,     1
PA134865839 ,PA443796     ,ASSOCIATED_WITH ,    10
PA134865839 ,PA443425     ,ASSOCIATED_WITH ,    11
PA134865839 ,PA445647     ,ASSOCIATED_WITH ,     2
PA134865839 ,DOID:1168    ,ASSOCIATED_WITH ,    10
PA134865839 ,PA443670     ,ASSOCIATED_WITH ,     2
PA134865839 ,DOID:1936    ,ASSOCIATED_WITH ,     3
PA134865839 ,PA166114942  ,ASSOCIATED_WITH ,     1
PA134865839 ,PA444368     ,ASSOCIATED_WITH ,     3
PA134865839 ,DOID:3146    ,ASSOCIATED_WITH ,     3
PA133787052 ,PA445465     ,ASSOCIATED_WITH ,     2
PA165450635 ,PA445465     ,ASSOCIATED_WITH ,     2
PA327       ,PA445818     ,ASSOCIATED_WITH ,     1
PA327       ,PA443815     ,ASSOCIATED_WITH ,     1
PA327       ,DOID:0060329 ,ASSOCIATED_WITH ,     1
PA327       ,PA446010     ,ASSOCIATED_WITH ,     1
PA327       ,DOID:3234    ,ASSOCIATED_WITH ,     1
PA327       ,PA445934     ,ASSOCIATED_WITH ,     1
