Source,Target,Type,Category
PA450085,DOID:1996,Dirigé,treats
PA450085,PA449493,Dirigé,interacts with
PA450085,DOID:235,Dirigé,treats
PA450085,DOID:2994,Dirigé,treats
PA450085,DOID:4074,Dirigé,treats
PA450085,PA443756,Dirigé,treats
PA450085,PA445503,Dirigé,treats
PA450085,PA443557,Dirigé,treats
PA450085,PA445218,Dirigé,treats
PA450085,PA443622,Dirigé,treats
PA450085,PA446615,Dirigé,treats
PA450085,PA444840,Dirigé,treats
PA450085,PA444750,Dirigé,treats
PA450085,PA445742,Dirigé,treats
PA451209,PA443459,Dirigé,treats
PA450085,PA446108,Dirigé,treats
PA450085,PA443560,Dirigé,treats
PA451209,PA449493,Dirigé,interacts with
PA451209,PA444859,Dirigé,treats
PA451457,PA449493,Dirigé,interacts with
PA451457,PA443459,Dirigé,treats
PA450401,PA448519,Dirigé,interacts with
PA450401,DOID:2559,Dirigé,treats
PA448519,PA10074,Dirigé,interacts with
PA450965,PA10074,Dirigé,interacts with
PA449028,PA10074,Dirigé,interacts with
PA449422,DOID:11328,Dirigé,treats
PA449422,PA448519,Dirigé,interacts with
PA450555,PA450965,Dirigé,interacts with
PA449373,PA450965,Dirigé,interacts with
PA449011,PA450965,Dirigé,interacts with
PA449028,PA450555,Dirigé,interacts with
PA450965,PA450555,Dirigé,interacts with
PA450850,PA450401,Dirigé,interacts with
PA451108,PA450401,Dirigé,interacts with
PA451457,PA449841,Dirigé,interacts with
PA450085,PA450146,Dirigé,interacts with
PA451209,PA449841,Dirigé,interacts with
PA450850,PA449422,Dirigé,interacts with
PA451108,PA449422,Dirigé,interacts with
PA449422,PA450401,Dirigé,interacts with
PA450401,PA449422,Dirigé,interacts with
PA449028,PA449011,Dirigé,interacts with
PA449028,PA449373,Dirigé,interacts with
PA450965,PA449011,Dirigé,interacts with
PA450965,PA449373,Dirigé,interacts with
PA449373,PA448486,Dirigé,interacts with
PA449011,PA448486,Dirigé,interacts with
PA450555,PA448486,Dirigé,interacts with
PA449028,PA451472,Dirigé,interacts with
PA450965,PA451472,Dirigé,interacts with
PA450965,PA449839,Dirigé,interacts with
PA449028,PA449839,Dirigé,interacts with
PA450965,PA450386,Dirigé,interacts with
PA449028,PA450386,Dirigé,interacts with
PA449011,PA449072,Dirigé,interacts with
PA449028,PA164754755,Dirigé,interacts with
PA451209,PA164742986,Dirigé,interacts with
PA449028,PA449958,Dirigé,interacts with
PA451457,PA164742986,Dirigé,interacts with
PA450555,PA449072,Dirigé,interacts with
PA449373,PA449072,Dirigé,interacts with
PA449493,PA450555,Dirigé,interacts with
PA449422,PA448486,Dirigé,interacts with
PA450401,PA448486,Dirigé,interacts with
PA451209,PA153619853,Dirigé,interacts with
PA449841,PA450386,Dirigé,interacts with
PA449841,PA451107,Dirigé,interacts with
PA450965,PA164754755,Dirigé,interacts with
PA450965,PA449958,Dirigé,interacts with
PA450965,PA451107,Dirigé,interacts with
PA449028,PA451107,Dirigé,interacts with
PA449422,PA449493,Dirigé,interacts with
PA450401,PA449493,Dirigé,interacts with
PA451457,PA448964,Dirigé,interacts with
PA451209,PA448964,Dirigé,interacts with
PA450085,PA449028,Dirigé,interacts with
PA451209,PA449028,Dirigé,interacts with
PA450965,PA449389,Dirigé,interacts with
PA449422,PA449072,Dirigé,interacts with
PA450401,PA449072,Dirigé,interacts with
PA449841,PA449389,Dirigé,interacts with
PA449493,PA449373,Dirigé,interacts with
PA449841,PA164754755,Dirigé,interacts with
PA449841,PA449958,Dirigé,interacts with
PA449422,PA449841,Dirigé,interacts with
PA450401,PA449841,Dirigé,interacts with
PA449841,PA449011,Dirigé,interacts with
PA449841,PA449373,Dirigé,interacts with
PA449841,PA451472,Dirigé,interacts with
PA449841,PA449839,Dirigé,interacts with
PA449028,PA449389,Dirigé,interacts with
PA451457,PA449028,Dirigé,interacts with
PA449422,PA449028,Dirigé,interacts with
PA450401,PA449028,Dirigé,interacts with
PA451170,PA450903,Dirigé,interacts with
PA448948,PA450555,Dirigé,interacts with
PA449646,PA450555,Dirigé,interacts with
PA450555,PA451666,Dirigé,interacts with
PA449373,PA451666,Dirigé,interacts with
PA449011,PA451666,Dirigé,interacts with
PA449422,PA451666,Dirigé,interacts with
PA450401,PA451666,Dirigé,interacts with
PA449646,PA449841,Dirigé,interacts with
PA448948,PA449841,Dirigé,interacts with
PA448948,PA449839,Dirigé,interacts with
PA164743028,PA449977,Dirigé,interacts with
PA449646,PA449839,Dirigé,interacts with
PA449015,PA447196,Dirigé,treats
PA449015,DOID:4964,Dirigé,treats
PA449015,PA447211,Dirigé,treats
PA450705,PA448519,Dirigé,interacts with
PA450705,PA443309,Dirigé,treats
PA449015,DOID:302,Dirigé,treats
PA449015,PA443853,Dirigé,treats
PA449015,DOID:2055,Dirigé,treats
PA449015,PA448519,Dirigé,interacts with
PA449015,PA443309,Dirigé,treats
PA449015,DOID:14320,Dirigé,treats
PA449015,PA443894,Dirigé,treats
PA153619853,PA448519,Dirigé,interacts with
PA449015,DOID:3324,Dirigé,treats
PA449015,PA445876,Dirigé,treats
PA449015,DOID:150,Dirigé,treats
PA450705,PA444253,Dirigé,treats
PA448422,PA164783809,Dirigé,interacts with
PA449646,PA448964,Dirigé,interacts with
PA448948,PA449958,Dirigé,interacts with
PA449646,PA449958,Dirigé,interacts with
PA164743028,PA163522472,Dirigé,interacts with
PA448948,PA449011,Dirigé,interacts with
PA448948,PA449373,Dirigé,interacts with
PA164743028,PA450146,Dirigé,interacts with
PA448948,PA451472,Dirigé,interacts with
PA449646,PA449011,Dirigé,interacts with
PA449646,PA449373,Dirigé,interacts with
PA449646,PA451472,Dirigé,interacts with
PA448422,DOID:635,Dirigé,treats
PA448422,DOID:526,Dirigé,treats
PA448948,PA449389,Dirigé,interacts with
PA449422,PA450965,Dirigé,interacts with
PA450401,PA450965,Dirigé,interacts with
